,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,7,7,7,7,7,7,7,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8
02,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,5,6,7,7,7,6,7
03,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,7,7,7
04,6,7,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,6,6,6,7,7,7,7
05,6,6,5,6,6,3,6,6,4,3,7,7,7,7,8,8,7,7,7,7,7,7,7,7
06,7,7,7,7,7,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
07,8,8,8,8,8,8,8,8,8,7,7,7,6,5,5,5,4,5,5,4,4,4,3,0
08,0,4,4,4,5,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
09,8,8,8,8,8,8,8,8,8,8,7,6,7,8,8,8,7,7,7,6,7,7,6,6
10,6,6,6,5,1,5,2,1,1,6,3,4,6,6,7,6,3,7,7,7,6,5,5,5
11,5,5,5,6,5,5,6,7,8,8,6,4,3,3,3,3,3,4,7,7,7,7,7,7
12,7,7,7,7,7,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,7,5,5,6
13,6,5,5,5,6,5,2,5,6,6,5,4,3,3,3,2,2,3,1,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,4
15,4,4,1,2,0,0,4,6,6,6,4,2,6,5,3,3,1,0,0,0,0,2,4,4
16,4,6,5,5,5,5,6,7,7,6,7,7,5,2,1,1,0,0,0,1,3,3,2,4
17,4,6,6,6,2,0,4,4,2,2,3,3,4,4,6,3,2,1,0,0,0,0,0,1
18,1,1,1,0,3,4,1,3,4,6,3,3,6,4,3,4,6,2,2,1,2,1,0,0
19,0,0,0,1,3,4,3,5,6,6,5,3,2,1,1,1,2,0,3,3,3,2,1,0
20,1,2,2,1,2,2,5,3,5,5,5,4,4,4,4,4,5,7,7,7,8,8,8,8
21,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
22,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
23,8,8,8,8,8,7,7,6,6,7,7,6,4,3,1,2,3,4,3,3,2,2,2,0
24,0,1,1,1,1,1,1,2,2,0,0,0,0,3,4,6,4,2,2,0,0,0,0,2
25,5,3,5,5,5,6,6,5,6,6,6,6,7,6,6,7,5,7,7,6,7,7,7,7
26,7,7,7,6,7,8,8,8,7,7,7,7,5,5,2,2,2,2,3,4,5,2,0,0
27,0,0,0,0,3,6,3,5,5,5,7,7,8,8,8,8,8,8,8,8,8,8,8,8
28,8,8,5,7,7,7,7,6,7,7,7,7,7,8,7,8,8,8,8,8,8,7,7,7
29,7,7,7,7,7,6,7,7,7,7,7,4,3,6,7,7,7,7,7,7,8,8,8,8
30,8,8,8,6,6,6,6,6,5,5,6,6,7,7,7,8,8,8,8,8,8,8,8,8
