iter	Passed	Remaining
354	57621	16173766
355	57774	16171112
356	57936	16170878
357	58097	16170191
358	58254	16168675
359	58416	16168296
360	58569	16165638
361	58735	16166589
362	58918	16172111
363	59065	16167606
364	59243	16171731
365	59391	16167704
366	59555	16168218
367	59699	16162900
368	59871	16165373
369	60021	16161912
370	60209	16168735
371	60373	16168950
372	60555	16174089
373	60724	16175670
374	60922	16185013
375	61115	16193036
376	61293	16196845
377	61441	16193032
378	61590	16189292
379	61788	16198290
380	61983	16206669
381	62155	16208874
382	62314	16207807
383	62498	16213043
384	62666	16214377
385	62818	16211413
386	62984	16212149
387	63124	16206071
388	63284	16205274
389	63448	16205433
390	63616	16206509
391	63804	16212905
392	63962	16211584
393	64132	16213261
394	64305	16215456
395	64494	16221888
396	64633	16215937
397	64806	16218197
398	64950	16213491
399	65150	16222503
400	65297	16218448
401	65479	16222974
402	65631	16220029
403	65812	16224512
404	66043	16241074
405	66193	16237571
406	66342	16234135
407	66490	16230237
408	66667	16233506
409	66851	16238394
410	67014	16238290
411	67165	16235148
412	67327	16234832
413	67501	16237223
414	67642	16231794
415	67808	16232305
416	67981	16234505
417	68125	16229742
418	68271	16225534
419	68449	16229121
420	68633	16233810
421	68780	16229924
422	68935	16227896
423	69115	16231728
424	69297	16235958
425	69499	16244825
426	69671	16246855
427	69814	16242067
428	69961	16238074
429	70105	16233508
430	70272	16234365
431	70445	16236354
432	70596	16233477
433	70759	16233343
434	70902	16228583
435	71065	16228433
436	71245	16231979
437	71421	16234873
438	71581	16233898
439	71717	16227609
440	71866	16224302
441	72012	16220314
442	72226	16231663
443	72411	16236535
444	72570	16235454
445	72727	16233951
446	72873	16229847
447	73038	16230228
448	73223	16234905
449	73385	16234463
450	73569	16239044
451	73720	16236129
452	73884	16236241
453	74062	16239315
454	74221	16238106
455	74382	16237620
456	74533	16234777
457	74698	16235074
458	74890	16241154
459	75030	16235840
460	75221	16241784
461	75391	16243025
462	75565	16245235
463	75741	16247835
464	75891	16244834
465	76049	16243488
466	76202	16241215
467	76362	16240398
468	76547	16244866
469	76725	16247756
470	76890	16248101
471	77081	16253700
472	77244	16253487
473	77467	16265941
474	77629	16265432
475	77776	16261845
476	77963	16266553
477	78123	16265799
478	78326	16273762
479	78486	16272864
480	78625	16267627
481	78782	16266183
482	78930	16262702
483	79071	16257988
484	79251	16261172
485	79439	16266214
486	79593	16263997
487	79745	16261606
488	79900	16259754
489	80061	16258985
490	80215	16257023
491	80386	16258310
492	80522	16252660
493	80699	16255251
494	80856	16253888
495	81049	16259617
496	81189	16254795
497	81342	16252523
498	81503	16251937
499	81648	16248024
500	81776	16240906
501	81946	16242033
502	82101	16240230
503	82299	16246977
504	82467	16247762
505	82611	16243842
506	82802	16249008
507	82970	16249795
508	83109	16244871
509	83271	16244469
510	83415	16240517
511	83621	16248709
512	83792	16250044
513	83981	16254874
514	84136	16253007
515	84347	16262004
516	84508	16261512
517	84684	16263682
518	84860	16265989
519	85050	16270829
520	85218	16271537
521	85361	16267383
522	85534	16268977
523	85677	16264967
524	85837	16264210
525	85982	16260520
526	86179	16266617
527	86341	16266239
528	86501	16265301
529	86647	16261949
530	86796	16259072
531	86954	16257882
532	87116	16257426
533	87290	16259308
534	87438	16256127
535	87610	16257603
536	87752	16253511
537	87911	16252465
538	88087	16254763
539	88255	16255360
540	88437	16258580
541	88612	16260486
542	88753	16256261
543	88895	16252112
544	89072	16254507
545	89245	16256166
546	89420	16258026
547	89592	16259440
548	89769	16261639
549	89939	16262672
550	90082	16258758
551	90240	16257624
552	90387	16254633
553	90556	16255409
554	90727	16256543
555	90871	16252846
556	91030	16251997
557	91183	16250002
558	91343	16249153
559	91487	16245640
560	91649	16245090
561	91801	16242917
562	91942	16238956
563	92103	16238312
564	92289	16242179
565	92456	16242534
566	92642	16246452
567	92783	16242316
568	92963	16245088
569	93124	16244519
570	93271	16241412
571	93416	16238060
572	93561	16234716
573	93741	16237591
574	93890	16234935
575	94047	16233696
576	94216	16234428
577	94373	16233251
578	94527	16231514
579	94702	16233349
580	94887	16236807
581	95051	16236870
582	95224	16238336
583	95367	16234608
584	95531	16234630
585	95705	16236250
586	95859	16234606
587	96006	16231569
588	96172	16231893
589	96320	16229248
590	96491	16230253
591	96643	16228204
592	96842	16234130
593	96999	16232938
594	97153	16231217
595	97339	16234808
596	97501	16234443
597	97708	16241555
598	97857	16238980
599	98010	16237017
600	98176	16237377
601	98358	16240230
602	98531	16241760
603	98688	16240497
604	98863	16242177
605	99004	16238432
606	99162	16237286
607	99330	16237997
608	99495	16237955
609	99650	16236558
610	99818	16237148
611	99988	16237948
612	100242	16252471
613	100443	16258455
614	100634	16262768
615	100777	16259213
616	100940	16258966
617	101087	16256074
618	101224	16251677
619	101395	16252787
620	101584	16256557
621	101726	16253076
622	101914	16256734
623	102057	16253377
624	102242	16256623
625	102377	16251827
626	102515	16247643
627	102684	16248276
628	102879	16253216
629	103076	16258272
630	103248	16259413
631	103431	16262314
632	103575	16259065
633	103755	16261429
634	103923	16262016
635	104096	16263235
636	104241	16260140
637	104394	16258373
638	104536	16254839
639	104706	16255668
640	104859	16253803
641	105059	16259306
642	105246	16262728
643	105432	16266097
644	105601	16266722
645	105770	16267337
646	105955	16270420
647	106137	16273073
648	106295	16272054
649	106481	16275249
